WKT,ID
"MULTIPOLYGON (((-1.11819823 50.81182419,-1.11818193 50.81181579,-1.11819823 50.81182419)))",BLD-UH001
"MULTIPOLYGON (((-1.11814087 50.81179463,-1.11812418 50.81178602,-1.11814087 50.81179463)))",BLD-UH001
"MULTIPOLYGON (((-1.11807936 50.81176292,-1.11806328 50.81175464,-1.11807936 50.81176292)))",BLD-UH001
"MULTIPOLYGON (((-1.11800885 50.81168157,-1.11790223 50.81162640,-1.11786721 50.81165355,-1.11797409 50.81170854,-1.11800885 50.81168157,-1.11800885 50.81168157)))",BLD-UH002
"MULTIPOLYGON (((-1.11818193 50.81181579,-1.11819823 50.81182419,-1.11823236 50.81184178,-1.11827730 50.81180657,-1.11807326 50.81170152,-1.11802819 50.81173655,-1.11806328 50.81175464,-1.11807936 50.81176292,-1.11812418 50.81178602,-1.11814087 50.81179463,-1.11818193 50.81181579)))",BLD-UH001
"MULTIPOLYGON (((-1.10087392 50.78676205,-1.10059835 50.78659517,-1.10050222 50.78665891,-1.10077765 50.78682578,-1.10087380 50.78676198,-1.10087392 50.78676205)))",BLD-PAVIL
"MULTIPOLYGON (((-1.10144435 50.81368441,-1.10144281 50.81368390,-1.10144200 50.81368392,-1.10144087 50.81368355,-1.10144044 50.81368312,-1.10143931 50.81368275,-1.10143851 50.81368277,-1.10143738 50.81368240,-1.10143695 50.81368197,-1.10143582 50.81368159,-1.10143502 50.81368162,-1.10143389 50.81368124,-1.10143346 50.81368081,-1.10143233 50.81368044,-1.10143152 50.81368046,-1.10143040 50.81368009,-1.10142996 50.81367966,-1.10142884 50.81367929,-1.10142803 50.81367931,-1.10142691 50.81367894,-1.10142647 50.81367851,-1.10142535 50.81367814,-1.10142454 50.81367816,-1.10142341 50.81367779,-1.10142298 50.81367735,-1.10142185 50.81367698,-1.10142105 50.81367700,-1.10141992 50.81367663,-1.10141949 50.81367620,-1.10141836 50.81367583,-1.10141756 50.81367585,-1.10141643 50.81367548,-1.10141600 50.81367505,-1.10141398 50.81367438,-1.10141317 50.81367537,-1.10141320 50.81367588,-1.10141261 50.81367660,-1.10141193 50.81367687,-1.10141135 50.81367758,-1.10141138 50.81367810,-1.10141079 50.81367881,-1.10141011 50.81367908,-1.10140953 50.81367980,-1.10140956 50.81368031,-1.10140897 50.81368102,-1.10140829 50.81368130,-1.10140771 50.81368201,-1.10140774 50.81368252,-1.10140715 50.81368323,-1.10140647 50.81368351,-1.10140589 50.81368422,-1.10140592 50.81368473,-1.10140533 50.81368545,-1.10140465 50.81368572,-1.10140407 50.81368643,-1.10140410 50.81368694,-1.10140351 50.81368766,-1.10140283 50.81368793,-1.10140225 50.81368865,-1.10140228 50.81368916,-1.10140169 50.81368987,-1.10140101 50.81369015,-1.10140043 50.81369086,-1.10140046 50.81369137,-1.10139987 50.81369208,-1.10139919 50.81369236,-1.10139861 50.81369307,-1.10139864 50.81369358,-1.10139805 50.81369430,-1.10139737 50.81369457,-1.10139679 50.81369528,-1.10139682 50.81369579,-1.10139623 50.81369651,-1.10139555 50.81369678,-1.10139448 50.81369809,-1.10140675 50.81370255,-1.10140837 50.81370233,-1.10140894 50.81370251,-1.10140938 50.81370294,-1.10141052 50.81370330,-1.10141132 50.81370327,-1.10141246 50.81370363,-1.10141290 50.81370406,-1.10141404 50.81370442,-1.10141484 50.81370439,-1.10141598 50.81370475,-1.10141642 50.81370518,-1.10141756 50.81370554,-1.10141836 50.81370551,-1.10141950 50.81370587,-1.10141994 50.81370630,-1.10142107 50.81370666,-1.10142188 50.81370663,-1.10142301 50.81370700,-1.10142346 50.81370742,-1.10142501 50.81370792,-1.10142593 50.81370680,-1.10142590 50.81370629,-1.10142649 50.81370557,-1.10142717 50.81370530,-1.10142775 50.81370459,-1.10142772 50.81370408,-1.10142831 50.81370336,-1.10142899 50.81370309,-1.10142957 50.81370237,-1.10142954 50.81370186,-1.10143013 50.81370115,-1.10143081 50.81370088,-1.10143139 50.81370016,-1.10143136 50.81369965,-1.10143195 50.81369894,-1.10143263 50.81369866,-1.10143321 50.81369795,-1.10143318 50.81369744,-1.10143377 50.81369672,-1.10143445 50.81369645,-1.10143503 50.81369574,-1.10143500 50.81369523,-1.10143559 50.81369451,-1.10143627 50.81369424,-1.10143685 50.81369352,-1.10143682 50.81369301,-1.10143741 50.81369230,-1.10143809 50.81369203,-1.10143867 50.81369131,-1.10143864 50.81369080,-1.10143923 50.81369009,-1.10143991 50.81368981,-1.10144049 50.81368910,-1.10144046 50.81368859,-1.10144105 50.81368788,-1.10144173 50.81368760,-1.10144231 50.81368689,-1.10144228 50.81368638,-1.10144286 50.81368566,-1.10144355 50.81368539,-1.10144435 50.81368441)))",BLD-R0003
"MULTIPOLYGON (((-1.11565645 50.78773067,-1.11565525 50.78773147,-1.11565506 50.78773196,-1.11565418 50.78773255,-1.11565341 50.78773269,-1.11565253 50.78773327,-1.11565234 50.78773377,-1.11565147 50.78773435,-1.11565070 50.78773450,-1.11564982 50.78773508,-1.11564963 50.78773558,-1.11564875 50.78773616,-1.11564798 50.78773630,-1.11564711 50.78773689,-1.11564692 50.78773738,-1.11564604 50.78773797,-1.11564527 50.78773811,-1.11564439 50.78773869,-1.11564420 50.78773919,-1.11564333 50.78773977,-1.11564255 50.78773992,-1.11564168 50.78774050,-1.11564149 50.78774100,-1.11564061 50.78774158,-1.11563984 50.78774172,-1.11563896 50.78774231,-1.11563877 50.78774280,-1.11563790 50.78774339,-1.11563712 50.78774353,-1.11563625 50.78774411,-1.11563606 50.78774461,-1.11563518 50.78774519,-1.11563441 50.78774534,-1.11563284 50.78774638,-1.11563412 50.78774715,-1.11563490 50.78774727,-1.11563582 50.78774782,-1.11563605 50.78774831,-1.11563697 50.78774887,-1.11563775 50.78774899,-1.11563867 50.78774955,-1.11563890 50.78775004,-1.11563982 50.78775059,-1.11564060 50.78775071,-1.11564152 50.78775127,-1.11564175 50.78775176,-1.11564267 50.78775231,-1.11564345 50.78775243,-1.11564437 50.78775299,-1.11564460 50.78775348,-1.11564552 50.78775403,-1.11564630 50.78775415,-1.11564722 50.78775471,-1.11564745 50.78775520,-1.11564837 50.78775575,-1.11564915 50.78775587,-1.11565007 50.78775643,-1.11565030 50.78775692,-1.11565121 50.78775747,-1.11565200 50.78775759,-1.11565292 50.78775815,-1.11565315 50.78775864,-1.11565406 50.78775919,-1.11565485 50.78775931,-1.11565577 50.78775987,-1.11565599 50.78776036,-1.11565691 50.78776091,-1.11565770 50.78776103,-1.11565862 50.78776159,-1.11565884 50.78776208,-1.11565976 50.78776263,-1.11566055 50.78776275,-1.11566147 50.78776331,-1.11566169 50.78776380,-1.11566338 50.78776482,-1.11567355 50.78775844,-1.11567366 50.78775753,-1.11567409 50.78775724,-1.11567486 50.78775709,-1.11567572 50.78775650,-1.11567590 50.78775600,-1.11567676 50.78775541,-1.11567753 50.78775525,-1.11567839 50.78775466,-1.11567857 50.78775417,-1.11567943 50.78775357,-1.11568020 50.78775342,-1.11568106 50.78775283,-1.11568124 50.78775233,-1.11568210 50.78775174,-1.11568287 50.78775159,-1.11568374 50.78775100,-1.11568391 50.78775050,-1.11568478 50.78774991,-1.11568555 50.78774976,-1.11568673 50.78774895,-1.11568529 50.78774808,-1.11568450 50.78774796,-1.11568358 50.78774741,-1.11568336 50.78774692,-1.11568244 50.78774636,-1.11568165 50.78774624,-1.11568073 50.78774568,-1.11568051 50.78774519,-1.11567959 50.78774464,-1.11567880 50.78774452,-1.11567788 50.78774396,-1.11567766 50.78774347,-1.11567674 50.78774292,-1.11567595 50.78774280,-1.11567503 50.78774224,-1.11567481 50.78774175,-1.11567389 50.78774120,-1.11567310 50.78774108,-1.11567218 50.78774052,-1.11567196 50.78774003,-1.11567104 50.78773948,-1.11567025 50.78773936,-1.11566934 50.78773880,-1.11566911 50.78773831,-1.11566819 50.78773776,-1.11566740 50.78773764,-1.11566649 50.78773708,-1.11566626 50.78773659,-1.11566534 50.78773604,-1.11566456 50.78773592,-1.11566364 50.78773536,-1.11566341 50.78773487,-1.11566249 50.78773432,-1.11566171 50.78773420,-1.11566079 50.78773364,-1.11566056 50.78773315,-1.11565964 50.78773259,-1.11565886 50.78773247,-1.11565794 50.78773192,-1.11565771 50.78773143,-1.11565645 50.78773067)))",BLD-R0002
"MULTIPOLYGON (((-1.17423237 50.78655819,-1.17423198 50.78655927,-1.17423222 50.78655976,-1.17423194 50.78656054,-1.17423139 50.78656092,-1.17423111 50.78656170,-1.17423135 50.78656219,-1.17423107 50.78656298,-1.17423052 50.78656335,-1.17423024 50.78656414,-1.17423048 50.78656462,-1.17423020 50.78656541,-1.17422965 50.78656578,-1.17422937 50.78656657,-1.17422961 50.78656706,-1.17422933 50.78656784,-1.17422878 50.78656822,-1.17422850 50.78656900,-1.17422874 50.78656949,-1.17422846 50.78657028,-1.17422791 50.78657065,-1.17422763 50.78657144,-1.17422787 50.78657192,-1.17422759 50.78657271,-1.17422704 50.78657308,-1.17422676 50.78657387,-1.17422700 50.78657436,-1.17422672 50.78657514,-1.17422617 50.78657552,-1.17422589 50.78657630,-1.17422613 50.78657679,-1.17422585 50.78657757,-1.17422530 50.78657795,-1.17422480 50.78657935,-1.17422652 50.78657960,-1.17422729 50.78657945,-1.17422852 50.78657963,-1.17422912 50.78657998,-1.17423035 50.78658015,-1.17423112 50.78658000,-1.17423236 50.78658018,-1.17423295 50.78658053,-1.17423419 50.78658070,-1.17423496 50.78658055,-1.17423620 50.78658073,-1.17423679 50.78658108,-1.17423803 50.78658126,-1.17423880 50.78658110,-1.17424004 50.78658128,-1.17424063 50.78658163,-1.17424187 50.78658181,-1.17424264 50.78658166,-1.17424388 50.78658183,-1.17424447 50.78658218,-1.17424571 50.78658236,-1.17424648 50.78658221,-1.17424771 50.78658239,-1.17424831 50.78658273,-1.17424954 50.78658291,-1.17425031 50.78658276,-1.17425155 50.78658294,-1.17425214 50.78658328,-1.17425338 50.78658346,-1.17425415 50.78658331,-1.17425539 50.78658349,-1.17425598 50.78658384,-1.17425722 50.78658401,-1.17425799 50.78658386,-1.17425923 50.78658404,-1.17425982 50.78658439,-1.17426106 50.78658457,-1.17426183 50.78658441,-1.17426307 50.78658459,-1.17426366 50.78658494,-1.17426593 50.78658526,-1.17426936 50.78657630,-1.17426886 50.78657567,-1.17426899 50.78657528,-1.17426953 50.78657490,-1.17426979 50.78657411,-1.17426954 50.78657362,-1.17426981 50.78657284,-1.17427034 50.78657246,-1.17427061 50.78657167,-1.17427036 50.78657118,-1.17427062 50.78657040,-1.17427116 50.78657002,-1.17427142 50.78656923,-1.17427117 50.78656874,-1.17427143 50.78656795,-1.17427197 50.78656757,-1.17427224 50.78656679,-1.17427199 50.78656630,-1.17427225 50.78656551,-1.17427279 50.78656513,-1.17427315 50.78656405,-1.17427120 50.78656378,-1.17427044 50.78656393,-1.17426920 50.78656375,-1.17426861 50.78656340,-1.17426737 50.78656322,-1.17426660 50.78656338,-1.17426536 50.78656320,-1.17426477 50.78656285,-1.17426353 50.78656267,-1.17426276 50.78656282,-1.17426152 50.78656265,-1.17426093 50.78656230,-1.17425969 50.78656212,-1.17425892 50.78656227,-1.17425768 50.78656209,-1.17425709 50.78656175,-1.17425585 50.78656157,-1.17425508 50.78656172,-1.17425384 50.78656154,-1.17425325 50.78656120,-1.17425201 50.78656102,-1.17425124 50.78656117,-1.17425001 50.78656099,-1.17424941 50.78656064,-1.17424818 50.78656047,-1.17424741 50.78656062,-1.17424617 50.78656044,-1.17424558 50.78656009,-1.17424434 50.78655992,-1.17424357 50.78656007,-1.17424233 50.78655989,-1.17424174 50.78655954,-1.17424050 50.78655936,-1.17423973 50.78655951,-1.17423849 50.78655934,-1.17423790 50.78655899,-1.17423666 50.78655881,-1.17423589 50.78655896,-1.17423465 50.78655879,-1.17423406 50.78655844,-1.17423237 50.78655819)))",BLD-R0001
"MULTIPOLYGON (((-1.12200473 50.80747536,-1.12207477 50.80744135,-1.12200026 50.80738010,-1.12193098 50.80741398,-1.12200473 50.80747536,-1.12200473 50.80747536)))",BLD-R0005
